Name,URL,Description,Image,Rating,Rating Count,Content Rating,Genre,Duration
Clarkson&apos;s Farm,https://www.imdb.com/title/tt10541088/,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,https://m.media-amazon.com/images/M/MV5BYWI5M2YyYmYtMzBkNy00YWYyLThjZGUtYzEyOTQxZDQyYmVhXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,9.0,61522,15,"Documentary, Comedy, Reality-TV",
Human Planet,https://www.imdb.com/title/tt1806234/,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,https://m.media-amazon.com/images/M/MV5BOTJmZjcwZDctODRkYi00MTJkLTgwYTYtMmUxYTgxOGU4ODg2XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_.jpg,9.0,27876,PG,Documentary,
Frozen Planet,https://www.imdb.com/title/tt2092588/,Focuses on life and the environment in both the Arctic and Antarctic.,https://m.media-amazon.com/images/M/MV5BYjdlMGYwYWQtODVlMi00Y2I0LThiYzgtYTM0YmU5NzdhYTI0XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,9.0,33111,E,Documentary,
Firefly,https://www.imdb.com/title/tt0303461/,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",https://m.media-amazon.com/images/M/MV5BOTcwNzkwMDItZmM1OC00MmQ2LTgxYjgtOTNiNDgxZDAxMjk0XkEyXkFqcGdeQXVyNDQ0MTYzMDA@._V1_.jpg,8.9,282798,PG,"Adventure, Drama, Sci-Fi",
Hunter x Hunter,https://www.imdb.com/title/tt2098220/,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",https://m.media-amazon.com/images/M/MV5BNGM0YTk3MWEtN2JlZC00ZmZmLWIwMDktZTMxZGE5Zjc2MGExXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,9.0,137844,PG,"Animation, Action, Adventure",
Only Fools and Horses,https://www.imdb.com/title/tt0081912/,Comedy that follows two brothers from London&apos;s rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that&apos;ll make them millionaires.,https://m.media-amazon.com/images/M/MV5BYmI1NGIwNzYtOTVlMS00ZGYwLWE0ZTktYzVmMGVlMmRmN2QxXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,9.0,57014,12,Comedy,
The Civil War,https://www.imdb.com/title/tt0098769/,A comprehensive survey of the American Civil War.,https://m.media-amazon.com/images/M/MV5BZjE1ODNkYzctNjM0Ni00MmM3LTkyMjctZGRhYzA3YzhjMTFlXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,9.0,18707,TV-14,"Documentary, History, War",
Death Note: Desu nôto,https://www.imdb.com/title/tt0877057/,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,https://m.media-amazon.com/images/M/MV5BNjRiNmNjMmMtN2U2Yi00ODgxLTk3OTMtMmI1MTI1NjYyZTEzXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,8.9,383209,12,"Animation, Crime, Drama",
Seinfeld,https://www.imdb.com/title/tt0098904/,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,https://m.media-amazon.com/images/M/MV5BZjZjMzQ2ZmUtZWEyZC00NWJiLWFjM2UtMzhmYzZmZDcxMzllXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,8.9,353971,PG,Comedy,
Dekalog,https://www.imdb.com/title/tt0092337/,"Ten television drama films, each one based on one of the Ten Commandments.",https://m.media-amazon.com/images/M/MV5BNDgzZDVmZjYtYmNhNi00YTE0LWJmNDAtODZiNWIwMjJhZDhhXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,8.9,28030,15,Drama,
The Beatles: Get Back,https://www.imdb.com/title/tt9735318/,"In January 1969, The Beatles set out to write and record new songs for their first live show in more than two years, culminating in an impromptu concert atop their Savile Row studio.",https://m.media-amazon.com/images/M/MV5BNjMxMjE5ZTEtMjgyOC00ODM4LWJjZDAtMjcwZDBlNzZhZTkyXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,8.9,28494,15,"Documentary, Biography, Music",
Gravity Falls,https://www.imdb.com/title/tt1865718/,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle&apos;s tourist trap in the enigmatic Gravity Falls, Oregon.",https://m.media-amazon.com/images/M/MV5BMTEzNDc3MDQ2NzNeQTJeQWpwZ15BbWU4MDYzMzUwMDIx._V1_.jpg,8.9,137496,PG,"Animation, Adventure, Comedy",
True Detective,https://www.imdb.com/title/tt2356777/,"Anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",https://m.media-amazon.com/images/M/MV5BNTEzMzBiNGYtYThiZS00MzBjLTk5ZWItM2FmMzU3Y2RjYTVlXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_.jpg,8.9,661234,18,"Crime, Drama, Mystery",
Kaubôi bibappu: Cowboy Bebop,https://www.imdb.com/title/tt0213338/,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,https://m.media-amazon.com/images/M/MV5BZDEzMjlkNDgtZjhkNi00N2RlLWFhZTYtNDE5OTc2NjZkODJlXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,8.9,140435,PG,"Animation, Action, Adventure",
Shahsiyet,https://www.imdb.com/title/tt7920978/,A man diagnosed with Alzheimer&apos;s decides to punish criminals.,https://m.media-amazon.com/images/M/MV5BOTJkNzJmYzgtZTZmNC00MTQ2LWE2ZGQtM2EyYjliNGViMTY5XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_.jpg,9.0,47754,TV-MA,"Crime, Drama, Mystery",
Fargo,https://www.imdb.com/title/tt2802850/,"Various chronicles of deception, intrigue, and murder in and around frozen Minnesota. All of these tales mysteriously lead back one way or another to Fargo, North Dakota.",https://m.media-amazon.com/images/M/MV5BMjNlMTIxNDEtY2U3OC00ZGFlLTgxNzEtZDU3NTdiZTAzN2MxXkEyXkFqcGdeQXVyMTU1ODIwMTM1._V1_.jpg,8.9,424700,15,"Crime, Drama, Thriller",
Nathan for You,https://www.imdb.com/title/tt2297757/,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan&apos;s genuine efforts to do good often draw real people into an experience far be...",https://m.media-amazon.com/images/M/MV5BOGY4ZWM1MDUtZmM3MS00ZjAxLTkyYzMtMjgxODI1YzkzNGUwXkEyXkFqcGdeQXVyNzk2NzE5Mjk@._V1_.jpg,8.9,38978,Not Rated,"Documentary, Comedy",
Gibi,https://www.imdb.com/title/tt13675832/,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,https://m.media-amazon.com/images/M/MV5BZTUzZjU0M2MtZGFmYy00ZWU0LWJjZGUtOGJlMTI4MWI4ZDUxXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_.jpg,9.0,22978,,Comedy,
Taskmaster,https://www.imdb.com/title/tt4934214/,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.",https://m.media-amazon.com/images/M/MV5BMTNlYzY0MTItZmI5Ni00ODEwLTkxNDktOTI3MGI1ODRmODJlXkEyXkFqcGdeQXVyMDE4MzA0NQ@@._V1_.jpg,9.0,20146,15,"Comedy, Game-Show",
Apocalypse: La 2ème guerre mondiale,https://www.imdb.com/title/tt1508238/,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.",https://m.media-amazon.com/images/M/MV5BOTMwMzU4MTgtZTIwNC00ODJiLWJmYTctNzc5ZTU3NmJlMDZiL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,9.0,14395,TV-MA,"Documentary, History, War",
When They See Us,https://www.imdb.com/title/tt7137906/,Five teens from Harlem become trapped in a nightmare when they&apos;re falsely accused of a brutal attack in Central Park. Based on the true story.,https://m.media-amazon.com/images/M/MV5BZmJjM2YzOWEtOTYxYi00YjhkLTliMzgtMTA2MTc0NDQ1MDM4XkEyXkFqcGdeQXVyODY5OTk4MA@@._V1_.jpg,8.8,138864,15,"Biography, Crime, Drama",
Last Week Tonight with John Oliver,https://www.imdb.com/title/tt3530232/,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,https://m.media-amazon.com/images/M/MV5BNjRhYTgyZGEtOGU2YS00ZGM1LWIzODctZDhkNDBiYTFhZTYxXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg,8.8,96175,15,"Comedy, News, Talk-Show",
Africa,https://www.imdb.com/title/tt2571774/,"Africa, the world&apos;s wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa&apos;s amazing ...",https://m.media-amazon.com/images/M/MV5BNDdkZGViNzctZTJkMy00N2ZmLTg4NTUtZWM3YTE3ZTE3NjYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,8.9,17215,PG,Documentary,
Friends,https://www.imdb.com/title/tt0108778/,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,8.9,1094794,PG,"Comedy, Romance",
Succession,https://www.imdb.com/title/tt7660850/,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",https://m.media-amazon.com/images/M/MV5BODY5YjA3ZDgtM2EwYy00ZGVmLWFhNWItMTMxMWRkMWFiOTlkXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_.jpg,8.8,278186,15,"Comedy, Drama",
TVF Pitchers,https://www.imdb.com/title/tt4742876/,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,https://m.media-amazon.com/images/M/MV5BNDQyODA4ZmMtM2E3NC00OTVkLWE1ZTctMTNmN2E0YTdiOWNjXkEyXkFqcGdeQXVyMTExMTIzMTA5._V1_.jpg,9.1,72721,TV-MA,"Comedy, Drama",
It&apos;s Always Sunny in Philadelphia,https://www.imdb.com/title/tt0472954/,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,https://m.media-amazon.com/images/M/MV5BMTgwMjc3Mjc0NF5BMl5BanBnXkFtZTgwODYxMDM0NDE@._V1_.jpg,8.8,253643,15,Comedy,
The West Wing,https://www.imdb.com/title/tt0200276/,Inside the lives of staffers in the West Wing of the White House.,https://m.media-amazon.com/images/M/MV5BNjk3ZWE3ZDctN2Q1YS00NzNhLWFjNmYtZTkwYWQxZmQ3NzM3XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg,8.9,86189,12,Drama,
Monty Python&apos;s Flying Circus,https://www.imdb.com/title/tt0063929/,The original surreal sketch comedy showcase for the Monty Python troupe.,https://m.media-amazon.com/images/M/MV5BZGI1N2FiYTYtOWU3Mi00MjBlLWJkMGMtMjZmZTQwMDdiYjY3XkEyXkFqcGdeQXVyMTIwMjIwNjQ2._V1_.jpg,8.8,79037,PG,Comedy,
Curb Your Enthusiasm,https://www.imdb.com/title/tt0264235/,Larry David stars as an over-the-top version of himself in this comedy series that shows how seemingly trivial details of day-to-day life can precipitate a catastrophic chain of events.,https://m.media-amazon.com/images/M/MV5BZDY1ZGM4OGItMWMyNS00MDAyLWE2Y2MtZTFhMTU0MGI5ZDFlXkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_.jpg,8.8,148885,PG,Comedy,
Das Boot,https://www.imdb.com/title/tt0081834/,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,https://m.media-amazon.com/images/M/MV5BZjkzZGM2MGMtN2NjNC00ZWIwLWE2NWItZTVlYmU2NDQ0MzczXkEyXkFqcGc@._V1_.jpg,8.8,33602,TV-MA,"Drama, War",
One Piece: Wan pîsu,https://www.imdb.com/title/tt0388629/,"Monkey D. Luffy sets off on an adventure with his pirate crew in hopes of finding the greatest treasure ever, known as the &quot;One Piece.&quot;",https://m.media-amazon.com/images/M/MV5BM2YwYTkwNjItNGQzNy00MWE1LWE1M2ItOTMzOGI1OWQyYjA0XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,9.0,241203,PG,"Animation, Action, Adventure",
X-Men &apos;97,https://www.imdb.com/title/tt16026746/,"A band of mutants use their uncanny gifts to protect a world that hates and fears them; they&apos;re challenged like never before, forced to face a dangerous and unexpected new future.",https://m.media-amazon.com/images/M/MV5BNDU3ZTU4NTctNGIyOC00ZDgxLTliZWEtNDg0ZmNjMGE4YjU1XkEyXkFqcGdeQXVyNjYwMjU3MjA@._V1_.jpg,8.9,29062,TV-14,"Animation, Action, Adventure",
BoJack Horseman,https://www.imdb.com/title/tt3398228/,"BoJack Horseman was the star of the hit television show &quot;Horsin&apos; Around&quot; in the &apos;80s and &apos;90s, but now he&apos;s washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",https://m.media-amazon.com/images/M/MV5BMjI2MDMxODAyMl5BMl5BanBnXkFtZTgwNjI1NTIzMzI@._V1_.jpg,8.8,191068,PG,"Animation, Comedy, Drama",
Fawlty Towers,https://www.imdb.com/title/tt0072500/,"Hotel owner Basil Fawlty&apos;s incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",https://m.media-amazon.com/images/M/MV5BNzJiYjAxNjUtNjFlNC00NWMwLTgxMTAtNjgyYmUzNWE0OWFjXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_.jpg,8.8,100593,PG,Comedy,
Sôsô no Furîren,https://www.imdb.com/title/tt22248376/,"An elf and her friends defeat a demon king in a great war. But the war is over, and the elf must search for a new way of life.",https://m.media-amazon.com/images/M/MV5BMjVjZGU5ZTktYTZiNC00N2Q1LThiZjMtMDVmZDljN2I3ZWIwXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_.jpg,8.9,18882,TV-14,"Animation, Adventure, Drama",
Leyla ile Mecnun,https://www.imdb.com/title/tt1831164/,"It is an unique and heartwarming show follows the extraordinary journey of a couple named Leyla and Mecnun. With Ali Atay portraying Mecnun and Ezgi Asaroglu as Leyla, the series has garnered a massive fan base and critical acclaim.",https://m.media-amazon.com/images/M/MV5BZGZlN2QzYTQtNmZkMy00YjdiLWIwOGUtMzlhZTJlMmIyNmJhXkEyXkFqcGdeQXVyOTQ2MjQ3MTI@._V1_.jpg,9.1,96743,TV-PG,"Adventure, Comedy, Drama",
Pride and Prejudice,https://www.imdb.com/title/tt0112130/,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",https://m.media-amazon.com/images/M/MV5BMDM0MjFlOGYtNTg2ZC00MmRkLTg5OTQtM2U5ZjUyYTgxZThiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,8.8,92821,PG,"Drama, Romance",
Freaks and Geeks,https://www.imdb.com/title/tt0193676/,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,https://m.media-amazon.com/images/M/MV5BZWJhOGFiZWMtYTY5Ni00NGU1LWE5OWItNzA5NThkNWUwYzc4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,8.8,153913,15,"Comedy, Drama",
Blackadder Goes Forth,https://www.imdb.com/title/tt0096548/,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",https://m.media-amazon.com/images/M/MV5BNDAzY2RjNjItYWJlZC00NDNiLWIwZTYtNDM3M2YyYTY5ZDVhXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_.jpg,8.8,57119,15,"Comedy, War",
